City Name,Latitude,Longitude,Predicted Temperature,Heat Risk Score,Heat Risk,Tree Plantation,Green Roof,Cooling Infrastructure,Mitigation Priority
0,-22.58277860747475,71.33821704710826,21.747752018871928,36.57457204781704,Moderate,Existing Green Cover Sufficient,Not Required,Urban Parks + Shade Structures,2
111,81.12857515378491,12.994691883883348,22.210418910624732,40.93559468068727,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
222,41.75890952605292,-68.57005813692201,21.140747953373577,30.853050765293794,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
333,17.758527155466595,112.9662070945015,21.799355989079388,37.060982651281904,Moderate,Existing Green Cover Sufficient,Recommended,Urban Parks + Shade Structures,2
444,-61.91664472036143,66.50322211939653,20.8220856274581,27.849391674202074,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
456,-61.92098633948352,-121.45790183583912,22.535482505415796,43.999591087768394,Moderate,High Priority Tree Plantation,Optional,Urban Parks + Shade Structures,2
467,-79.5449498097241,147.93378641778327,22.832978988249728,46.803744395395256,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
478,65.91170623948832,116.11340745234082,22.81542386412708,46.638272659711575,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
489,18.20070211377758,161.92796878509267,22.431076016504992,43.0154725582718,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
1,37.45306400328819,81.2590230198096,26.441531877808913,80.81737516040985,Extreme,Existing Green Cover Sufficient,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
12,-86.29479102675556,40.82947053688434,24.857827295688114,65.88963416678985,High,High Priority Tree Plantation,Recommended,Cooling Centers + Reflective Roads,3
23,84.58377338915898,-29.432506935377205,23.639936476377617,54.40999401519745,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
34,59.83967534407592,155.78225400744475,25.31642454039328,70.2122969705932,High,Moderate Tree Plantation,Not Required,Cooling Centers + Reflective Roads,3
45,-51.77896007791029,131.78300022014702,19.237982647837114,12.917895450747885,Low,High Priority Tree Plantation,Recommended,Routine Monitoring,1
56,-57.27150590272189,-163.72127876177183,20.213391478106672,22.11193993703402,Low,Moderate Tree Plantation,Not Required,Routine Monitoring,1
67,-56.98718822638191,-170.50788918098928,21.217894002616532,31.580216838298213,Moderate,High Priority Tree Plantation,Recommended,Urban Parks + Shade Structures,2
78,-35.23639626728321,-44.47318792390215,23.902255715104534,56.88257235939543,High,Moderate Tree Plantation,Optional,Cooling Centers + Reflective Roads,3
89,4.456157693802808,111.79919908145985,26.978124773853065,85.8752122479536,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
100,-12.249896644419168,175.41940655338,21.921853849347322,38.21562749540025,Moderate,Moderate Tree Plantation,Not Required,Urban Parks + Shade Structures,2
112,-37.57875476435245,-125.84991920272984,26.564018506779394,81.9719141401509,Extreme,High Priority Tree Plantation,Not Required,Cooling Centers + Reflective Pavements + Water Features,4
